model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
GT86,2014,Manual,24667,Petrol,265,36.2,2.0,13495
GT86,2017,Semi-Auto,13930,Petrol,150,39.8,2.0,18495
GT86,2017,Manual,18544,Petrol,150,36.2,2.0,18621
GT86,2017,Manual,11898,Petrol,145,36.2,2.0,17500
GT86,2017,Manual,10089,Petrol,145,36.2,2.0,17249
GT86,2014,Manual,39761,Petrol,265,36.2,2.0,13000
GT86,2017,Manual,19420,Petrol,145,36.2,2.0,17250
GT86,2016,Manual,19987,Petrol,260,36.2,2.0,13999
GT86,2015,Automatic,81206,Petrol,200,39.8,2.0,10499
GT86,2015,Manual,49000,Petrol,265,36.2,2.0,13495
GT86,2019,Automatic,4000,Petrol,145,32.8,2.0,24990
GT86,2017,Manual,6725,Petrol,145,36.2,2.0,19500
Corolla,2019,Automatic,7445,Hybrid,140,85.6,1.8,20250
Corolla,2019,Automatic,8789,Hybrid,135,85.6,1.8,21995
Corolla,2019,Manual,2193,Petrol,145,39.2,1.2,18995
Corolla,2019,Automatic,9798,Hybrid,135,78.5,1.8,22498
Corolla,2019,Automatic,8442,Hybrid,135,85.6,1.8,20998
Corolla,2019,Automatic,7666,Hybrid,135,85.6,1.8,22520
Corolla,2019,Manual,6346,Petrol,145,39.2,1.2,17440
Corolla,2019,Automatic,9000,Hybrid,135,78.5,1.8,22990
Corolla,2019,Automatic,1992,Hybrid,135,85.6,1.8,19998
Corolla,2019,Automatic,9500,Hybrid,135,78.5,1.8,23990
Corolla,2019,Automatic,12158,Hybrid,135,85.6,1.8,19995
Corolla,2019,Automatic,5500,Hybrid,135,72.4,2.0,24995
Corolla,2019,Automatic,1350,Hybrid,135,72.4,2.0,24995
Corolla,2019,Automatic,5000,Hybrid,135,78.5,1.8,23440
Corolla,2019,Automatic,9278,Hybrid,135,85.6,1.8,21990
Corolla,2019,Automatic,5000,Hybrid,135,85.6,1.8,20990
Corolla,2019,Automatic,10500,Hybrid,135,85.6,1.8,19990
Corolla,2019,Automatic,9100,Hybrid,135,58.9,1.8,21995
Corolla,2019,Automatic,9304,Hybrid,135,78.5,1.8,22070
Corolla,2019,Automatic,9500,Hybrid,135,85.6,1.8,22490
Corolla,2019,Manual,3500,Petrol,145,39.2,1.2,15990
Corolla,2019,Automatic,9023,Hybrid,135,72.4,2.0,21998
Corolla,2019,Automatic,9684,Hybrid,135,85.6,1.8,22075
Corolla,2019,Manual,6503,Petrol,145,39.2,1.2,16995
Corolla,2019,Manual,5087,Petrol,145,39.2,1.2,18498
Corolla,2019,Automatic,6195,Hybrid,140,72.4,2.0,24998
Corolla,2019,Automatic,4720,Hybrid,135,78.5,1.8,23500
Corolla,2019,Automatic,2839,Hybrid,135,85.6,1.8,21750
Corolla,2019,Automatic,11408,Hybrid,135,85.6,1.8,21000
Corolla,2019,Automatic,6788,Hybrid,135,85.6,1.8,23000
Corolla,2019,Automatic,2430,Hybrid,140,78.5,1.8,25000
Corolla,2019,Automatic,3579,Hybrid,135,72.4,2.0,23000
Corolla,2019,Automatic,6415,Hybrid,135,72.4,2.0,24000
Corolla,2019,Automatic,9493,Hybrid,135,78.5,1.8,22500
Corolla,2019,Automatic,5830,Hybrid,135,72.4,2.0,22790
Corolla,2019,Automatic,9781,Hybrid,135,72.4,2.0,22790
Corolla,2019,Automatic,8950,Hybrid,135,72.4,2.0,21490
Corolla,2019,Manual,12000,Petrol,145,39.2,1.2,17250
Corolla,2019,Manual,7016,Petrol,145,39.2,1.2,15998
Corolla,2019,Automatic,13872,Hybrid,140,72.4,2.0,20498
Corolla,2019,Manual,2336,Petrol,145,39.2,1.2,15990
Corolla,2019,Automatic,3892,Hybrid,140,58.9,1.8,20488
Corolla,2019,Manual,4886,Petrol,150,39.2,1.2,20288
Corolla,2019,Manual,9770,Petrol,145,39.2,1.2,17995
Corolla,2019,Manual,8599,Petrol,145,39.2,1.2,16490
Corolla,2019,Manual,5346,Petrol,145,39.2,1.2,15990
Corolla,2019,Manual,3250,Petrol,145,39.2,1.2,18290
Corolla,2019,Manual,4290,Petrol,150,39.2,1.2,19998
Corolla,2019,Automatic,3497,Hybrid,140,72.4,2.0,23888
Corolla,2019,Manual,6449,Petrol,145,39.2,1.2,15990
Corolla,2019,Automatic,3988,Hybrid,135,72.4,2.0,23448
Corolla,2019,Automatic,5268,Hybrid,135,72.4,2.0,22990
Corolla,2019,Manual,1110,Petrol,145,39.2,1.2,18295
Corolla,2019,Manual,1436,Petrol,145,39.2,1.2,18995
Corolla,2019,Automatic,9296,Hybrid,135,58.9,1.8,21490
Corolla,2019,Automatic,8322,Hybrid,135,72.4,2.0,22790
Corolla,2019,Manual,9000,Petrol,145,39.2,1.2,17490
Corolla,2019,Automatic,8000,Hybrid,135,72.4,2.0,24388
Corolla,2019,Manual,8328,Petrol,145,39.2,1.2,16490
Corolla,2019,Automatic,10836,Hybrid,135,78.5,1.8,21790
Corolla,2019,Manual,4890,Petrol,145,39.2,1.2,16490
Corolla,2019,Automatic,5651,Hybrid,140,72.4,2.0,24790
Corolla,2019,Automatic,9735,Hybrid,135,78.5,1.8,21490
Corolla,2019,Manual,8514,Petrol,145,39.2,1.2,18495
Corolla,2019,Manual,4774,Petrol,145,39.2,1.2,18495
Corolla,2019,Automatic,7500,Hybrid,140,58.9,1.8,24995
Corolla,2019,Manual,3000,Petrol,145,39.2,1.2,16995
Corolla,2019,Automatic,12501,Hybrid,135,72.4,2.0,22790
Corolla,2019,Automatic,10124,Hybrid,135,85.6,1.8,21490
Corolla,2019,Automatic,9107,Hybrid,135,72.4,2.0,21490
Corolla,2019,Automatic,2535,Hybrid,135,72.4,2.0,23698
Corolla,2020,Automatic,2797,Hybrid,135,62.8,1.8,22990
Corolla,2019,Automatic,13410,Hybrid,135,72.4,2.0,22990
Corolla,2019,Manual,4332,Petrol,150,39.2,1.2,19990
Corolla,2019,Manual,8503,Petrol,150,39.2,1.2,20990
Corolla,2019,Manual,3695,Petrol,150,39.2,1.2,17890
Corolla,2019,Manual,2579,Petrol,145,39.2,1.2,18995
Corolla,2019,Manual,6057,Petrol,145,39.2,1.2,17990
Corolla,2019,Manual,2907,Petrol,145,39.2,1.2,18690
Corolla,2019,Manual,7134,Petrol,145,39.2,1.2,16990
Corolla,2019,Manual,25,Petrol,145,39.2,1.2,16990
Corolla,2019,Automatic,4451,Hybrid,135,72.4,2.0,22727
Corolla,2019,Automatic,5668,Hybrid,135,72.4,2.0,20995
Corolla,2019,Automatic,5250,Hybrid,135,85.6,1.8,20995
Corolla,2019,Automatic,4633,Hybrid,140,78.5,1.8,22290
Corolla,2019,Manual,9625,Petrol,145,39.2,1.2,16490
Corolla,2019,Automatic,5804,Hybrid,135,85.6,1.8,19790
Corolla,2019,Manual,10000,Petrol,145,39.2,1.2,15790
Corolla,2019,Manual,9999,Petrol,145,39.2,1.2,17480
Corolla,2020,Automatic,5000,Hybrid,135,57.7,1.8,24980
Corolla,2019,Manual,3860,Petrol,145,39.2,1.2,18990
Corolla,2019,Automatic,9004,Hybrid,135,85.6,1.8,21495
Corolla,2019,Manual,4500,Petrol,145,39.2,1.2,17960
Corolla,2019,Automatic,5784,Hybrid,135,72.4,2.0,23995
Corolla,2019,Manual,6551,Petrol,145,39.2,1.2,17995
Corolla,2019,Automatic,6770,Hybrid,135,72.4,2.0,24795
Corolla,2019,Manual,500,Petrol,145,39.2,1.2,18995
Corolla,2019,Manual,500,Petrol,145,39.2,1.2,19995
Corolla,2019,Automatic,10500,Hybrid,135,72.4,2.0,22595
Corolla,2019,Automatic,5558,Hybrid,135,78.5,1.8,23445
Corolla,2019,Automatic,6125,Hybrid,135,78.5,1.8,23395
Corolla,2019,Automatic,2620,Hybrid,135,78.5,1.8,23445
Corolla,2019,Automatic,2474,Hybrid,140,72.4,2.0,24998
Corolla,2019,Automatic,6513,Hybrid,140,78.5,1.8,23498
Corolla,2019,Automatic,6989,Hybrid,135,72.4,2.0,23995
Corolla,2019,Automatic,11000,Hybrid,140,72.4,2.0,22995
Corolla,2019,Automatic,3754,Hybrid,135,78.5,1.8,22995
Corolla,2019,Automatic,11293,Hybrid,135,85.6,1.8,19995
Corolla,2019,Automatic,5674,Hybrid,140,85.6,1.8,19995
Corolla,2019,Automatic,9250,Hybrid,135,72.4,2.0,23995
Corolla,2019,Manual,5600,Petrol,145,39.2,1.2,23495
Corolla,2019,Automatic,11449,Hybrid,140,78.5,1.8,21000
Corolla,2019,Manual,3510,Petrol,145,39.2,1.2,17999
Corolla,2019,Automatic,4412,Hybrid,135,78.5,1.8,20497
Corolla,2019,Automatic,10016,Hybrid,135,78.5,1.8,23500
Corolla,2019,Automatic,11051,Hybrid,135,85.6,1.8,21665
Corolla,2019,Manual,5102,Petrol,145,39.2,1.2,21280
Corolla,2019,Automatic,2535,Hybrid,135,72.4,2.0,24960
Corolla,2019,Manual,8970,Petrol,145,39.2,1.2,19540
Corolla,2019,Automatic,5922,Hybrid,135,85.6,1.8,20110
Corolla,2019,Automatic,15631,Hybrid,135,72.4,2.0,23060
Corolla,2019,Automatic,5910,Hybrid,135,85.6,1.8,22900
Corolla,2019,Automatic,8812,Hybrid,135,78.5,1.8,24025
Corolla,2019,Automatic,4113,Hybrid,135,85.6,1.8,22999
Corolla,2019,Automatic,8171,Hybrid,135,78.5,1.8,21999
Corolla,2019,Manual,3422,Petrol,145,39.2,1.2,19990
Corolla,2019,Manual,6522,Petrol,145,39.2,1.2,19900
Corolla,2019,Automatic,11478,Hybrid,135,78.5,1.8,22000
Corolla,2019,Manual,10011,Petrol,150,39.2,1.2,19290
Corolla,2019,Manual,7777,Petrol,145,39.2,1.2,19995
Corolla,2019,Automatic,14417,Hybrid,140,72.4,2.0,23888
Corolla,2019,Automatic,2034,Hybrid,140,78.5,1.8,22495
Corolla,2019,Automatic,10420,Hybrid,140,85.6,1.8,21495
Corolla,2019,Automatic,10120,Hybrid,140,78.5,1.8,21790
Corolla,2020,Automatic,3989,Hybrid,135,57.7,1.8,24995
Corolla,2020,Automatic,636,Hybrid,135,62.8,1.8,22995
Corolla,2019,Automatic,9333,Hybrid,135,78.5,1.8,21995
Corolla,2019,Manual,999,Petrol,145,39.2,1.2,17495
Corolla,2019,Automatic,12000,Hybrid,135,72.4,2.0,22050
Corolla,2020,Manual,7345,Petrol,145,39.2,1.2,20692
Corolla,2019,Automatic,20657,Hybrid,140,85.6,1.8,21495
Corolla,2019,Automatic,8309,Hybrid,135,78.5,1.8,22514
Corolla,2020,Automatic,2136,Hybrid,135,56.5,1.8,24995
Corolla,2019,Automatic,6158,Hybrid,140,72.4,2.0,23000
Corolla,2019,Automatic,7963,Hybrid,135,85.6,1.8,20689
Corolla,2019,Manual,384,Petrol,145,39.2,1.2,19219
Corolla,2019,Automatic,5000,Hybrid,135,78.5,1.8,21991
Corolla,2019,Automatic,3459,Hybrid,135,72.4,2.0,22980
Corolla,2019,Manual,7317,Petrol,145,39.2,1.2,15291
Corolla,2019,Automatic,9980,Hybrid,135,72.4,2.0,22780
Corolla,2020,Manual,4568,Petrol,150,39.2,1.2,19495
Corolla,2019,Automatic,7000,Hybrid,135,85.6,1.8,18991
Corolla,2019,Automatic,13998,Hybrid,135,85.6,1.8,19291
Corolla,2019,Automatic,9264,Hybrid,135,78.5,1.8,23505
Corolla,2019,Manual,17197,Petrol,145,39.2,1.2,17865
Corolla,2019,Automatic,4942,Hybrid,135,85.6,1.8,20499
Corolla,2019,Automatic,9264,Hybrid,135,78.5,1.8,22226
Corolla,2019,Manual,6329,Petrol,145,39.2,1.2,16821
Corolla,2019,Automatic,6834,Hybrid,135,72.4,2.0,20995
Corolla,2019,Manual,151,Petrol,145,39.2,1.2,17989
Corolla,2019,Manual,5517,Petrol,145,39.2,1.2,16495
Corolla,2019,Manual,3792,Petrol,145,39.2,1.2,17995
Corolla,2019,Manual,5139,Petrol,145,39.2,1.2,16495
Corolla,2019,Automatic,42,Hybrid,135,57.7,1.8,23995
Corolla,2019,Automatic,10932,Hybrid,135,78.5,1.8,22250
Corolla,2019,Automatic,14198,Hybrid,135,85.6,1.8,19995
Corolla,2019,Automatic,9111,Hybrid,140,78.5,1.8,22485
Corolla,2019,Automatic,5372,Hybrid,135,85.6,1.8,20985
Corolla,2019,Automatic,17095,Hybrid,140,72.4,2.0,21999
Corolla,2019,Manual,20,Petrol,145,39.2,1.2,17999
Corolla,2019,Manual,20,Petrol,145,39.2,1.2,17499
Corolla,2019,Manual,18020,Petrol,145,39.2,1.2,16299
Corolla,2019,Automatic,9244,Hybrid,140,85.6,1.8,21450
Corolla,2019,Automatic,10436,Hybrid,135,78.5,1.8,20499
Corolla,2019,Manual,15,Petrol,145,39.2,1.2,16491
Corolla,2019,Automatic,7899,Hybrid,135,85.6,1.8,21450
Corolla,2019,Automatic,8908,Hybrid,135,78.5,1.8,21450
Corolla,2019,Automatic,4800,Hybrid,135,85.6,1.8,21995
Corolla,2019,Automatic,3698,Hybrid,135,72.4,2.0,22691
Corolla,2019,Manual,10,Petrol,145,39.2,1.2,15991
Corolla,2019,Automatic,8239,Hybrid,135,78.5,1.8,23490
Corolla,2019,Manual,15,Petrol,145,39.2,1.2,17790
Corolla,2019,Manual,10,Petrol,145,39.2,1.2,17990
Corolla,2019,Manual,10,Petrol,145,39.2,1.2,16990
Corolla,2019,Automatic,7841,Hybrid,135,78.5,1.8,19795
Corolla,2019,Automatic,10513,Hybrid,140,85.6,1.8,23395
Corolla,2019,Manual,6597,Petrol,145,39.2,1.2,18700
Corolla,2019,Automatic,6289,Hybrid,135,78.5,1.8,22700
Corolla,2019,Manual,97,Petrol,145,39.2,1.2,16790
Corolla,2019,Automatic,3628,Hybrid,135,72.4,2.0,23700
Corolla,2019,Automatic,8087,Hybrid,135,72.4,2.0,23650
Corolla,2019,Automatic,12000,Hybrid,135,78.5,1.8,21990
Corolla,2020,Manual,3000,Petrol,145,39.2,1.2,19790
Corolla,2019,Automatic,8000,Hybrid,135,85.6,1.8,20450
Corolla,2019,Manual,3837,Petrol,145,39.2,1.2,16200
Corolla,2019,Automatic,3993,Hybrid,135,85.6,1.8,21491
Corolla,2019,Automatic,9300,Hybrid,135,58.9,1.8,21850
Corolla,2020,Automatic,3000,Hybrid,135,58.9,1.8,23550
Corolla,2019,Automatic,13000,Hybrid,135,78.5,1.8,21991
Corolla,2019,Automatic,9000,Hybrid,135,78.5,1.8,22850
Corolla,2019,Automatic,9968,Hybrid,135,85.6,1.8,19990
Corolla,2019,Automatic,10175,Hybrid,135,85.6,1.8,19990
Corolla,2019,Automatic,15481,Hybrid,135,78.5,1.8,21350
Corolla,2019,Automatic,7000,Hybrid,135,78.5,1.8,22990
Corolla,2019,Automatic,6000,Hybrid,135,78.5,1.8,22990
Corolla,2019,Automatic,7000,Hybrid,135,85.6,1.8,23650
Corolla,2019,Automatic,10055,Hybrid,135,78.5,1.8,21990
Corolla,2020,Manual,3000,Petrol,145,39.2,1.2,18990
Corolla,2019,Automatic,6610,Hybrid,135,85.6,1.8,21500
Corolla,2019,Automatic,9823,Hybrid,135,78.5,1.8,21690
Corolla,2019,Automatic,9000,Hybrid,135,72.4,2.0,22750
Corolla,2019,Automatic,8563,Hybrid,135,78.5,1.8,22250
Corolla,2019,Automatic,2165,Hybrid,135,72.4,2.0,24495
Corolla,2019,Automatic,6568,Hybrid,135,72.4,2.0,24295
Corolla,2019,Automatic,7575,Hybrid,135,78.5,1.8,22000
Corolla,2019,Manual,6170,Petrol,145,39.2,1.2,16500
Corolla,2019,Automatic,6033,Hybrid,135,78.5,1.8,23500
Corolla,2019,Automatic,3568,Hybrid,140,72.4,2.0,23250
Corolla,2019,Automatic,7792,Hybrid,135,78.5,1.8,21494
Corolla,2019,Automatic,10353,Hybrid,135,85.6,1.8,21249
Corolla,2019,Automatic,7125,Hybrid,135,85.6,1.8,21250
Corolla,2019,Automatic,8661,Hybrid,135,78.5,1.8,21995
Corolla,2019,Automatic,4319,Hybrid,140,85.6,1.8,22995
RAV4,2017,Automatic,30379,Hybrid,20,57.6,2.5,20000
RAV4,2017,Manual,25271,Diesel,125,60.1,2.0,16500
RAV4,2016,Manual,11291,Diesel,125,60.1,2.0,15995
RAV4,2015,Manual,45757,Diesel,125,57.6,2.0,13500
RAV4,2017,Automatic,25170,Hybrid,135,55.4,2.5,22480
RAV4,2015,Automatic,43830,Diesel,260,42.2,2.2,13698
RAV4,2016,Automatic,58377,Hybrid,20,55.4,2.5,17998
RAV4,2016,Manual,40054,Diesel,125,60.1,2.0,14998
RAV4,2016,Manual,32061,Diesel,125,60.1,2.0,13498
RAV4,2017,Automatic,26528,Petrol,145,43.5,2.0,17500
RAV4,2017,Automatic,37539,Petrol,200,43.5,2.0,16498
RAV4,2014,Manual,80049,Diesel,145,53.0,2.0,9698
RAV4,2016,Manual,35286,Diesel,125,60.1,2.0,14817
RAV4,2016,Automatic,40827,Hybrid,20,55.4,2.5,19995
RAV4,2016,Automatic,18000,Hybrid,20,57.6,2.5,20495
RAV4,2016,Automatic,29489,Hybrid,20,55.4,2.5,21495
RAV4,2016,Automatic,41060,Hybrid,20,55.4,2.5,20495
RAV4,2017,Automatic,25000,Hybrid,20,57.6,2.5,20795
RAV4,2015,Manual,49150,Diesel,125,57.6,2.0,11995
RAV4,2016,Manual,71046,Diesel,125,60.1,2.0,13995
RAV4,2014,Manual,69401,Diesel,125,57.6,2.0,12995
RAV4,2016,Manual,49097,Diesel,125,60.1,2.0,14495
RAV4,2016,Manual,39591,Diesel,125,60.1,2.0,14695
RAV4,2014,Automatic,47545,Diesel,260,42.2,2.2,11498
RAV4,2014,Manual,50709,Diesel,150,53.0,2.0,10998
RAV4,2017,Automatic,10957,Petrol,150,43.5,2.0,20498
RAV4,2015,Manual,60998,Diesel,125,57.6,2.0,9998
RAV4,2015,Manual,41486,Diesel,145,53.0,2.0,12998
RAV4,2017,Manual,48713,Diesel,125,60.1,2.0,13998
RAV4,2017,Manual,50039,Diesel,145,60.1,2.0,14698
RAV4,2018,Automatic,21893,Petrol,145,43.5,2.0,19698
RAV4,2015,Semi-Auto,21232,Petrol,235,39.2,2.0,15298
RAV4,2016,Automatic,18880,Hybrid,20,57.6,2.5,20990
RAV4,2017,Automatic,10028,Petrol,145,43.5,2.0,19998
RAV4,2017,Automatic,29515,Hybrid,20,57.6,2.5,20990
RAV4,2016,Automatic,25614,Hybrid,20,55.4,2.5,23990
RAV4,2016,Automatic,20101,Hybrid,20,55.4,2.5,23990
RAV4,2016,Manual,30124,Diesel,125,60.1,2.0,13495
RAV4,2017,Manual,59205,Diesel,125,60.1,2.0,15995
RAV4,2016,Automatic,58100,Hybrid,20,55.4,2.5,17495
RAV4,2014,Automatic,41389,Diesel,260,42.2,2.2,12998
RAV4,2016,Manual,36030,Diesel,125,60.1,2.0,13998
RAV4,2017,Manual,32087,Diesel,145,60.1,2.0,14998
RAV4,2016,Automatic,19618,Hybrid,20,57.6,2.5,19498
RAV4,2015,Manual,81503,Diesel,125,57.6,2.0,9998
RAV4,2017,Manual,34633,Diesel,125,60.1,2.0,16295
RAV4,2015,Manual,28308,Diesel,150,53.0,2.0,13495
RAV4,2016,Manual,27232,Diesel,125,60.1,2.0,15200
RAV4,2017,Automatic,14766,Hybrid,135,55.4,2.5,24070
RAV4,2016,Automatic,35445,Hybrid,20,57.6,2.5,19970
RAV4,2017,Manual,41201,Diesel,145,60.1,2.0,14498
RAV4,2016,Automatic,49254,Hybrid,20,55.4,2.5,17995
RAV4,2015,Automatic,59454,Diesel,265,42.2,2.2,14490
RAV4,2017,Manual,37893,Diesel,125,60.1,2.0,14495
RAV4,2017,Automatic,23605,Hybrid,20,55.4,2.5,23070
RAV4,2014,Manual,77512,Diesel,145,53.0,2.0,9798
RAV4,2016,Manual,23485,Diesel,125,60.1,2.0,14498
RAV4,2016,Manual,28083,Diesel,125,60.1,2.0,14998
RAV4,2014,Semi-Auto,51258,Petrol,235,39.2,2.0,11998
RAV4,2014,Manual,59627,Diesel,125,57.6,2.0,10995
RAV4,2017,Automatic,31057,Hybrid,135,57.6,2.5,19988
RAV4,2014,Manual,78650,Diesel,160,49.6,2.2,9998
RAV4,2017,Automatic,37258,Hybrid,20,55.4,2.5,21971
RAV4,2016,Automatic,27176,Hybrid,20,57.6,2.5,19452
RAV4,2017,Automatic,25000,Hybrid,20,57.6,2.5,20667
RAV4,2017,Automatic,40101,Hybrid,20,57.6,2.5,18495
RAV4,2016,Manual,38338,Diesel,125,60.1,2.0,13995
RAV4,2017,Automatic,29802,Hybrid,135,55.4,2.5,19990
RAV4,2016,Manual,31887,Diesel,125,60.1,2.0,14295
RAV4,2017,Automatic,20216,Hybrid,20,55.4,2.5,22795
RAV4,2016,Automatic,46035,Hybrid,20,55.4,2.5,18500
RAV4,2015,Manual,44652,Diesel,150,53.0,2.0,11495
RAV4,2014,Manual,57942,Diesel,145,53.0,2.0,10999
RAV4,2017,Automatic,13285,Hybrid,135,57.6,2.5,21998
RAV4,2016,Automatic,60602,Hybrid,20,55.4,2.5,17250
RAV4,2016,Automatic,46035,Hybrid,20,55.4,2.5,18695
RAV4,2017,Manual,32815,Diesel,125,60.1,2.0,13998
RAV4,2014,Manual,88870,Diesel,125,57.6,2.0,9780
RAV4,2016,Automatic,30117,Hybrid,20,57.6,2.5,18998
RAV4,2015,Manual,63000,Diesel,165,49.6,2.2,10995
RAV4,2017,Automatic,28486,Hybrid,20,55.4,2.5,22995
RAV4,2016,Automatic,30000,Hybrid,20,57.6,2.5,19490
RAV4,2015,Automatic,45848,Diesel,265,42.2,2.2,12480
RAV4,2017,Automatic,27999,Hybrid,135,57.6,2.5,21000
RAV4,2016,Automatic,31059,Hybrid,20,55.4,2.5,21000
RAV4,2017,Automatic,19511,Hybrid,20,55.4,2.5,22000
RAV4,2016,Manual,49814,Diesel,125,60.1,2.0,12498
RAV4,2017,Automatic,41351,Hybrid,20,55.4,2.5,19998
RAV4,2017,Manual,22565,Diesel,125,60.1,2.0,16675
RAV4,2016,Manual,56437,Diesel,125,60.1,2.0,13000
RAV4,2016,Automatic,15364,Hybrid,20,55.4,2.5,23000
RAV4,2017,Automatic,39833,Hybrid,20,55.4,2.5,21480
RAV4,2016,Automatic,37852,Hybrid,20,57.6,2.5,17795
RAV4,2016,Automatic,4671,Hybrid,20,57.6,2.5,21298
RAV4,2016,Automatic,49962,Hybrid,20,55.4,2.5,19287
RAV4,2014,Manual,52561,Diesel,125,57.6,2.0,11000
RAV4,2015,Manual,10763,Diesel,125,57.6,2.0,13200
RAV4,2016,Automatic,24757,Hybrid,20,57.6,2.5,19995
RAV4,2016,Automatic,43546,Hybrid,20,55.4,2.5,18995
RAV4,2017,Automatic,10985,Petrol,200,43.5,2.0,19480
RAV4,2016,Automatic,31522,Hybrid,20,57.6,2.5,18498
RAV4,2017,Automatic,30305,Petrol,145,43.5,2.0,18490
RAV4,2016,Automatic,32311,Hybrid,20,57.6,2.5,19490
RAV4,2017,Automatic,25889,Hybrid,20,55.4,2.5,22995
RAV4,2017,Automatic,39000,Hybrid,140,57.6,2.5,18995
RAV4,2017,Automatic,30724,Petrol,205,43.5,2.0,18490
RAV4,2014,Manual,67712,Diesel,150,53.0,2.0,10490
RAV4,2016,Automatic,24560,Petrol,205,43.5,2.0,16980
RAV4,2014,Manual,49429,Diesel,150,53.0,2.0,10995
RAV4,2016,Automatic,13586,Hybrid,20,57.6,2.5,21495
RAV4,2016,Manual,27762,Diesel,125,60.1,2.0,14995
RAV4,2016,Automatic,16000,Hybrid,20,55.4,2.5,21995
RAV4,2016,Manual,22262,Diesel,125,60.1,2.0,14295
RAV4,2017,Automatic,28546,Petrol,205,43.5,2.0,17390
RAV4,2016,Manual,19570,Diesel,125,60.1,2.0,16980
RAV4,2017,Manual,57423,Diesel,150,60.1,2.0,12998
RAV4,2017,Automatic,27498,Hybrid,140,57.6,2.5,20290
RAV4,2017,Automatic,48265,Hybrid,20,55.4,2.5,20690
RAV4,2016,Manual,38655,Diesel,125,60.1,2.0,13290
RAV4,2017,Automatic,16000,Petrol,200,43.5,2.0,19000
RAV4,2017,Automatic,20829,Hybrid,135,57.6,2.5,20498
RAV4,2016,Automatic,11544,Hybrid,20,57.6,2.5,19490
RAV4,2016,Automatic,39039,Hybrid,20,55.4,2.5,21990
RAV4,2016,Manual,20553,Diesel,125,60.1,2.0,15990
RAV4,2016,Automatic,32132,Hybrid,20,55.4,2.5,20790
RAV4,2017,Automatic,30489,Hybrid,140,57.6,2.5,19995
RAV4,2015,Automatic,50417,Diesel,265,42.2,2.2,13690
RAV4,2017,Automatic,14562,Hybrid,20,57.6,2.5,21990
RAV4,2016,Automatic,40049,Hybrid,20,57.6,2.5,18490
RAV4,2018,Automatic,13833,Petrol,145,43.5,2.0,22995
RAV4,2016,Automatic,31492,Hybrid,20,57.6,2.5,18995
RAV4,2016,Automatic,37971,Hybrid,20,57.6,2.5,18710
RAV4,2017,Automatic,37386,Hybrid,20,57.6,2.5,18798
RAV4,2017,Automatic,25601,Hybrid,20,57.6,2.5,20995
RAV4,2016,Automatic,60841,Petrol,200,43.5,2.0,13610
RAV4,2017,Automatic,17681,Petrol,145,43.5,2.0,20990
